,Name,Team,Sample 0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Mean,Std,Median,5th,16th,84th,95th
516,Sullivan Robey,Essendon,0.22684654329817036,0.24036163780217806,0.2314408269847321,0.20955845088785469,0.15395548422372501,0.17290843845109397,0.24466704800105823,0.17952355555447683,0.2184001595429096,0.252007506717187,0.21393220649652037,0.21305471435999151,0.03171898507086441,0.2184001595429096,0.16248431362604104,0.17681135754208985,0.24212685598371894,0.24870430029492907
473,Jacob Farrow,Essendon,0.19154716972384925,0.2140158091046086,0.15870463330113,0.16259700767538865,0.18128779823032387,0.12494003124133554,0.18909760552771548,0.23664190156398984,0.2086955127556675,0.20075827972007837,0.18798315017212067,0.18693353627420073,0.030266078939083337,0.18909760552771548,0.14013410216824304,0.1610011341819426,0.21087683425873335,0.22646015995726826
263,Xavier Duursma,Essendon,0.18015524964960336,0.21064254555792278,0.20182459763491412,0.1656947469860127,0.15859444620216434,0.156284724454402,0.20085308433264765,0.2036118632893726,0.1881230097456322,0.18301517887934013,0.1690860513771316,0.1834441361917403,0.01922662819785163,0.18301517887934013,0.15732409924089505,0.16278362366463486,0.2025573765532421,0.20747873853707519
276,Jye Caldwell,Essendon,0.08430295884930641,0.10580214547303421,0.14048402132763357,0.15507130774586006,0.11429955876127668,0.08684831269850592,0.10174828396975656,0.1209262081756079,0.1385601759868482,0.14073913446597755,0.10385056257988892,0.11751206091215419,0.023575983304664032,0.11429955876127668,0.0854483680814462,0.0956392957485438,0.1405886177143546,0.14862182976991292
262,Mason Redman,Essendon,0.090815773340911,0.13135047968360056,0.09557515120403344,0.1150799385961156,0.09074275985103922,0.07668304326724247,0.10955053445012833,0.09713519843278247,0.12252093256881565,0.11748541511935325,0.09638282131791943,0.10393836798472195,0.01642674999649057,0.09713519843278247,0.083009915729951,0.09078583781006357,0.11954997727363283,0.12737718348194735
268,Andrew McGrath,Essendon,0.06837365359649776,0.06577757425888775,0.10506605775142541,0.09635290711038703,0.06872641319837805,0.060824390469208046,0.0724809778383363,0.06700028117845226,0.07804431754592778,0.09916605969548198,0.08357533014388228,0.07867163298062406,0.015225096604627158,0.0724809778383363,0.06305332317456391,0.06649897134143082,0.09750629967027596,0.10241105862625086
280,Archer May,Essendon,0.016030807438886588,0.09251070701987499,0.10066705285883945,0.017508275097829245,0.06804536863256985,0.01704718052354246,0.06007475267531156,0.1089030047263744,0.06566309325339321,0.05583837707995181,0.03469921216577894,0.057907984679304775,0.033752261764021796,0.06007475267531156,0.01648817532698173,0.017319226322371664,0.09585480881385042,0.10519682638598367
261,Ben McKay,Essendon,0.009696270210461348,0.0631383314702412,0.035129681996237866,0.03141001950313831,0.060792379637663804,0.029110169723817973,0.04018908779639604,0.07664482220727215,0.045669689045834315,0.04510133557038319,0.044129013072566864,0.04372825456672846,0.01835024640758366,0.044129013072566864,0.018432524991471827,0.030467081093616975,0.06175421988902054,0.0705669013756082
279,Kyle Langford,Essendon,0.020305807330165477,0.055938336454586166,0.039586052727942085,0.05011639141247462,0.046849091234840906,0.029849814432108265,0.013235889776718496,0.03928393641941609,0.04798771286767861,0.02916515040762133,0.033232029053869315,0.03686820110158376,0.01315402724584408,0.03928393641941609,0.016417352675769638,0.02553281974586443,0.04886047107104498,0.05331846118563596
514,Jordan Ridley,Essendon,0.026928824081581346,0.03458440986242988,0.03381237765500495,0.030286443711358555,0.01947716045070441,0.02288789039288067,0.024016406546341598,0.04461096080859095,0.03997916975898634,0.03311168794558146,0.029029880484640978,0.03079320106346374,0.007476280799508968,0.030286443711358555,0.021011988924683728,0.023553714923422616,0.03679626142001803,0.04252665483626887
470,Archer Day-Wicks,Essendon,0.007166025030610328,0.036166862352708315,0.017201196682661207,0.006894142544428315,0.033190515570861084,0.0047404593848815605,0.013130813731679519,0.1045722342090139,0.021808411599080844,0.011645988014078033,0.02321741294764353,0.025430369278876964,0.028233314631296157,0.017201196682661207,0.0057096168066775995,0.0070545532112757025,0.03441081775141845,0.07378981687367632
266,Jaxon Prior,Essendon,0.0016210487395806402,0.010341021916532389,0.023692704330723298,0.03666405591178945,0.008893431872472785,0.012530099911009682,0.007096009369638789,0.04110577541546231,0.040373400188316554,0.023468271529541902,0.014473057687068561,0.020023534261103305,0.014039857072751656,0.014473057687068561,0.004084781023106807,0.008156488646310847,0.03818488706516556,0.040776206563246715
504,Thomas Edwards,Essendon,0.0007646280736304342,0.04052964585339294,0.04066387136233219,0.008075649323392994,0.009502585122415527,0.012665979703241386,0.029715736732133798,0.04570282921667162,0.03445292663677142,0.014085134432839163,0.011847670319457751,0.02254605970693447,0.01587038983606211,0.014085134432839163,0.0040545876360235855,0.008917541444816289,0.04058467831205803,0.04343529818221887
264,Hussien El Achkar,Essendon,0.003420974049234293,0.026136217554029038,0.02061895282430817,0.0,0.0,0.0,0.007553591106346903,0.02412346325771377,0.00991402604787393,0.002689620380730452,0.017817110285508427,0.010206723227794999,0.010178244273231456,0.007553591106346903,0.0,0.0,0.022055802102004467,0.025230478120687166
660,Vigo Visentini,Essendon,0.0,0.003116187857151898,0.008404943011452124,0.0,0.044592413421413485,0.0065325617128308,0.0,0.004813643747876285,0.016290764520771092,0.008091041441851604,0.0017914145943516955,0.008512088209790818,0.012929553670279807,0.004813643747876285,0.0,0.0,0.011638129830272901,0.031856671416124374
469,Jade Gresham,Essendon,0.0,0.01195305353629934,0.013284561100162018,0.0,0.0,0.0,0.0018677342338275739,0.023857389086762496,0.003810448078111154,0.0034633184165198433,0.00478919123074454,0.005729608698402452,0.007618112398231529,0.0034633184165198433,0.0,0.0,0.012498971637483038,0.01909961649279227
273,Lachlan Blakiston,Essendon,0.0,0.016377857350130316,0.0030934231249702964,0.0,0.019710294049834015,0.00020162535274201939,0.00045359481586596954,0.09211804526908944,0.002219113245203592,0.005119749859663058,0.010269887875235004,0.013596690085703066,0.02693569553551076,0.0030934231249702964,0.0,0.00011895895811779145,0.017744156397008833,0.059534557220424424
267,Archie Perkins,Essendon,0.0,0.012565269015808673,0.0027811953120255683,0.0006708707982633202,0.0,0.0010342896948984,0.0016058571981428138,0.025785985983799428,0.008381145046451535,0.002332798799839943,0.024110403625957493,0.007206165043198834,0.009593835785078282,0.002332798799839943,0.0,0.000395813770975359,0.01729877420596969,0.025031973922770557
275,Zak Johnson,Essendon,0.0,0.006222929056038701,0.0009790022174336883,0.0,0.0,0.0018472113562119814,0.0010961412859422435,0.025324668690529746,0.009447721233820613,0.003405723027994784,0.004998525298957267,0.004847447469720821,0.007436425724147173,0.0018472113562119814,0.0,0.0,0.0075450938489292855,0.01818004233501062
645,Angus Clarke,Essendon,0.0,0.0040841284814022005,0.0025347827961860006,6.392028213486256e-05,0.0029191848825143637,0.0,0.0,0.022262584444210448,0.0,0.00875354917539791,0.0016029128937965654,0.0038382784505129413,0.006666268659479809,0.0016029128937965654,0.0,0.0,0.005998590965940442,0.016183518573244793
